year,month,day,site,northwell,eastwell,centerwell,southwell,westwell,ditch,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight
2020,2,19,21,227,301,284,307,182.5,360,31.2,12.2,30.6,28.8,27.8
2020,2,22,22,157,118,148,109,190,112.5,38.8,33.3,49.4,24.8,37
2020,2,20,23,151,236,147,178,160,.,19.8,20.7,27.9,32,25.7
2020,2,21,24,.,.,.,.,.,.,.,.,.,.,.
2020,2,18,25,152,167.5,155,176,159.5,84,23.3,43,34.4,47.2,27
2020,2,21,26,231,273,263,241,251,.,56.2,68.8,76.4,51.8,66.6
2020,2,21,27,126,112,127,162,139,66,13,18.4,8.1,24.2,9.8
2020,2,.,28,.,.,.,.,.,.,86,90.6,95.8,96.1,85.4
2020,2,18,29,164,135,167,170,162.5,213,102,55,53.7,25.8,35.2
2020,2,18,30,175.5,332.5,101,360,175,.,85.3,38,80.6,79,118.5
2020,2,21,31,139.5,137.5,200,155.5,232.5,316.5,59.6,57.3,68.4,63,54.2
2020,2,21,32,259,309,305,287.5,315,289,53,47.6,75.8,39.5,62
2020,2,21,33,345,346,355,306,379,281,60.5,77.6,51.8,41.5,55.7
2020,2,21,34,.,.,.,.,.,.,.,.,.,.,.
2020,3,18,1,329,398.5,352,396.5,322.9,338,60.9,82,65.7,116,99.7
2020,3,20,2,283,294,271,280,265.5,222,101.3,103.8,94,105.2,91.4
2020,3,16,3,151,160,154,120,159,.,16.4,7.8,16.4,12.6,17
2020,3,17,4,205.5,196.5,185,190.5,127.5,72,108.6,72.2,82,70.4,5
2020,3,20,5,.,.,.,.,.,.,.,.,.,.,.
2020,3,17,6,129,154,136.5,151,138,112,47,48.8,50.3,53.4,53.9
2020,3,17,7,287,285,279,271.5,316,366,16.8,16.3,17,10.4,21.8
2020,3,18,8,220,237,156,153,222,207,91.6,97.5,94.8,101.2,119.8
2020,3,18,10,307,351,281,321,302,338,71.4,51.3,59.7,69,76.4
2020,3,18,11,196,213,219,225.5,237.5,,44.9,50.3,78.1,81.1,63.1
2020,3,18,12,217,200,190,213.5,222,,72.3,54.6,44.6,65.1,50.3
2020,3,20,13,163,203.5,167,133,73,247,25.7,82.4,28.1,25.5,30.4
2020,3,17,14,242,232,238,250.5,236,277.5,59,36,40.4,41.2,40
2020,3,17,15,109.5,137.5,101,109,65,72,15,13.2,14.2,9.6,23
2020,3,17,16,,,,,,,31.1,70.4,46.3,59.3,71.3
2020,3,17,17,345,250,191.5,237,198,112,97.4,97.5,41.8,83.8,66.1
2020,3,16,18,139,202,169,174,167,.,36.7,61.3,63,59.5,51.2
2020,3,16,19,198,115,171,167.5,167,.,51,52.5,61.7,49.8,51.5
2020,3,20,20,86.5,237.5,60,52,234,284,34,25.5,15.8,21.5,43.7
2020,3,18,21,226.5,293,280,304,192.5,338,31.2,12.2,30.6,28.8,27.8
2020,3,18,22,157,118.5,150,115,192.5,111,38.8,33.3,49.4,24.8,37
2020,3,21,23,133,217,131,162.5,144.5,149,19.8,20.7,27.9,32,25.7
2020,3,.,24,.,.,.,.,.,.,.,.,.,.,.
2020,3,17,25,150.5,166,153,174,158,72,23.3,43,34.4,47.2,27
2020,3,19,26,206,231,230,193,218,.,56.2,68.8,76.4,51.8,66.6
2020,3,16,27,128,111,126.5,162,139,63,13,18.4,8.1,24.2,9.8
2020,3,.,28,.,.,.,.,.,.,86,90.6,95.8,96.1,85.4
2020,3,18,29,158,127,159.5,165,157,209,102,55,53.7,25.8,35.2
2020,3,20,30,169.5,323.5,92.5,351.5,168,.,85.3,38,80.6,79,118.5
2020,3,20,31,131,130.5,191.5,147,224,188,59.6,57.3,68.4,63,54.2
2020,3,20,32,244,294.5,291,273.5,301,268,53,47.6,75.8,39.5,62
2020,3,17,33,343,346,333,305.5,377,279,60.5,77.6,51.8,41.5,55.7
2020,3,17,34,.,.,.,.,.,.,.,.,.,.,.
2020,4,23,1,336,402.5,358,402.5,334,345,60.9,82,65.7,116,99.7
2020,4,26,2,290,301,278.5,286.5,272.5,228.5,101.3,103.8,94,105.2,91.4
2020,4,24,3,180,189,181,149,181,.,16.4,7.8,16.4,12.6,17
2020,4,21,4,236,229,215,221,154,90.5,108.6,72.2,82,70.4,5
2020,4,.,5,,,,,,,.,.,.,.,.
2020,4,22,6,137.5,162.5,145,159.5,147,107,47,48.8,50.3,53.4,53.9
2020,4,20,7,289,290,281.5,275,318,360,16.8,16.3,17,10.4,21.8
2020,4,22,8,229.5,248,166,162,232,220,91.6,97.5,94.8,101.2,119.8
2020,4,23,10,317,357.5,291.5,333,316,345,71.4,51.3,59.7,69,76.4
2020,4,24,11,214,231.5,237,244,255.5,106,44.9,50.3,78.1,81.1,63.1
2020,4,24,12,234.5,218,210,231.5,238.5,106,72.3,54.6,44.6,65.1,50.3
2020,4,22,13,164,215,177,144,182,160,25.7,82.4,28.1,25.5,30.4
2020,4,20,14,258,248,255,269,253,269.5,59,36,40.4,41.2,40
2020,4,21,15,132.5,164,124.5,133,83.5,90.5,15,13.2,14.2,9.6,23
2020,4,21,16,211,242,232,224,198.5,90.5,31.1,70.4,46.3,59.3,71.3
2020,4,22,17,253,258.5,,245,206,107,97.4,97.5,41.8,83.8,66.1
2020,4,24,18,176.5,235,208,214,212,108,36.7,61.3,63,59.5,51.2
2020,4,24,19,231,144,206,204,205,108,51,52.5,61.7,49.8,51.5
2020,4,24,20,92,243.5,65.5,58,240.5,294.5,34,25.5,15.8,21.5,43.7
2020,4,23,21,228,296,288,312.5,195.5,345,31.2,12.2,30.6,28.8,27.8
2020,4,24,22,159.5,122.5,152,116,195,106,38.8,33.3,49.4,24.8,37
2020,4,25,23,127,203,121,149.5,139,162.5,19.8,20.7,27.9,32,25.7
2020,4,.,24,,,,,,,.,.,.,.,.
2020,4,21,25,179,196.5,180,198.5,180.5,90.5,23.3,43,34.4,47.2,27
2020,4,22,26,129,161,94,88,91,166,56.2,68.8,76.4,51.8,66.6
2020,4,21,27,159.5,.,160,196.5,177,57.1,13,18.4,8.1,24.2,9.8
2020,4,.,28,,,,,,,86,90.6,95.8,96.1,85.4
2020,4,22,29,166.5,138,166,168,161,211,102,55,53.7,25.8,35.2
2020,4,22,30,180,332,103,362,181,.,85.3,38,80.6,79,118.5
2020,4,22,31,140,138,201,156,234,195,59.6,57.3,68.4,63,54.2
2020,4,.,32,,,,,,,53,47.6,75.8,39.5,62
2020,4,20,33,377,374,367,340,411,294,60.5,77.6,51.8,41.5,55.7
2020,4,20,34,,,,,,,.,.,.,.,.
2020,5,20,1,330,396,352,397,329,339,60.9,82,65.7,116,99.7
2020,5,23,2,290.5,301,278,286,272.5,223,101.3,103.8,94,105.2,91.4
2020,5,18,3,184,193,185,154,184.5,136,16.4,7.8,16.4,12.6,17
2020,5,19,4,247,241,227.5,234.5,167,81,108.6,72.2,82,70.4,5
2020,5,.,5,,,,,,,.,.,.,.,.
2020,5,20,6,142.5,164.5,150.5,164.5,155,112,47,48.8,50.3,53.4,53.9
2020,5,22,7,301,301,293,286,329,367,16.8,16.3,17,10.4,21.8
2020,5,19,8,230,249,166,163,232,225,91.6,97.5,94.8,101.2,119.8
2020,5,20,10,312,352,287,329,313,339,71.4,51.3,59.7,69,76.4
2020,5,22,11,220,238,243,250,262,111,44.9,50.3,78.1,81.1,63.1
2020,5,22,12,237,221.5,214.5,236.5,242.5,111,72.3,54.6,44.6,65.1,50.3
2020,5,19,13,175,216,179,145,184,258,25.7,82.4,28.1,25.5,30.4
2020,5,22,14,272.5,263,270,282,267,304,59,36,40.4,41.2,40
2020,5,19,15,145,175,135.5,143.5,104,81,15,13.2,14.2,9.6,23
2020,5,19,16,224,257,246,239,212.5,81,31.1,70.4,46.3,59.3,71.3
2020,5,20,17,262,261.5,207,251.5,215.5,112,97.4,97.5,41.8,83.8,66.1
2020,5,18,18,186,245,217,224.5,221,111,36.7,61.3,63,59.5,51.2
2020,5,18,19,242,155,216,214,215,111,51,52.5,61.7,49.8,51.5
2020,5,20,20,91.5,243.5,65,56.5,238,290.5,34,25.5,15.8,21.5,43.7
2020,5,20,21,223,291,282,307,191,339,31.2,12.2,30.6,28.8,27.8
2020,5,22,22,152.5,115.5,144,107.5,189,111,38.8,33.3,49.4,24.8,37
2020,5,23,23,150,234,148,179,160,172,19.8,20.7,27.9,32,25.7
2020,5,.,24,,,,,,,.,.,.,.,.
2020,5,19,25,194,210.5,190,214,196.5,81,23.3,43,34.4,47.2,27
2020,5,24,26,83,96.5,84,75,75.5,166,56.2,68.8,76.4,51.8,66.6
2020,5,21,27,166,147.5,165,200.5,179.5,60,13,18.4,8.1,24.2,9.8
2020,5,.,28,,,,,,,86,90.6,95.8,96.1,85.4
2020,5,19,29,164,135,165,167,162,.,102,55,53.7,25.8,35.2
2020,5,20,30,178,332.5,103,363,179.5,.,85.3,38,80.6,79,118.5
2020,5,20,31,147.5,148,208.5,163,239,199,59.6,57.3,68.4,63,54.2
2020,5,.,32,,,,,,,53,47.6,75.8,39.5,62
2020,5,20,33,408.5,374,400,372.5,437,296.5,60.5,77.6,51.8,41.5,55.7
2020,5,20,34,,,,,,,.,.,.,.,.
