site,year,month,day,northwell,eastwell,centerwell,southwell,westwell,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight,Date,north_depth,east_depth,center_depth,south_depth,west_depth,mean_depth_gw,site_name,site_lat,site_long
24,2019,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,NA,NA,NA,NA,NA,NA,Santo Domingo,35.50989,-106.3896
25,2019,2,21,157.5,172.5,160.5,181.5,165,23.3,43,34.4,47.2,27,2019-02-21,134.2,129.5,126.1,134.3,138,132.42,Crawford,34.63835,-106.74277
25,2019,5,21,36,45,40,67,49,NA,NA,NA,NA,NA,2019-05-21,NA,NA,NA,NA,NA,NA,Crawford,34.63835,-106.74277
25,2019,3,19,124,138.5,128.5,151,136,23.3,43,34.4,47.2,27,2019-03-19,100.7,95.5,94.1,103.8,109,100.62,Crawford,34.63835,-106.74277
25,2019,1,15,157,171,159,179,163.5,23.3,43,34.4,47.2,27,2019-01-15,133.7,128,124.6,131.8,136.5,130.92,Crawford,34.63835,-106.74277
25,2019,4,16,109.5,123.5,114,137,126,NA,NA,NA,NA,NA,2019-04-16,NA,NA,NA,NA,NA,NA,Crawford,34.63835,-106.74277
26,2019,3,NA,NA,NA,NA,NA,NA,56.2,68.8,76.4,51.8,66.6,NA,NA,NA,NA,NA,NA,NA,Mesilla,32.248328,-106.821014
26,2019,1,NA,NA,NA,NA,NA,NA,56.2,68.8,76.4,51.8,66.6,NA,NA,NA,NA,NA,NA,NA,Mesilla,32.248328,-106.821014
26,2019,5,19,343,391,376,356,358,23.3,43,34.4,47.2,27,2019-05-19,319.7,348,341.6,308.8,331,329.82,Mesilla,32.248328,-106.821014
26,2019,2,NA,NA,NA,NA,NA,NA,56.2,68.8,76.4,51.8,66.6,NA,NA,NA,NA,NA,NA,NA,Mesilla,32.248328,-106.821014
26,2019,4,NA,NA,NA,NA,NA,NA,23.3,43,34.4,47.2,27,NA,NA,NA,NA,NA,NA,NA,Mesilla,32.248328,-106.821014
27,2019,3,22,97,92.5,97.5,132,105.5,13,18.4,8.1,24.2,9.8,2019-03-22,84,74.1,89.4,107.8,95.7,90.2,Bosque Farm,34.848851,-106.714722
27,2019,2,25,118,112,117.5,153,NA,13,18.4,8.1,24.2,9.8,2019-02-25,105,93.6,109.4,128.8,NA,109.2,Bosque Farm,34.848851,-106.714722
27,2019,4,15,72.5,62,72,107,79.5,56.2,68.8,76.4,51.8,66.6,2019-04-15,16.3,-6.8,-4.40000000000001,55.2,12.9,14.64,Bosque Farm,34.848851,-106.714722
27,2019,1,19,126.5,120,127,161,138.5,13,18.4,8.1,24.2,9.8,2019-01-19,113.5,101.6,118.9,136.8,128.7,119.9,Bosque Farm,34.848851,-106.714722
27,2019,5,21,0,NA,-1,29,6.5,56.2,68.8,76.4,51.8,66.6,2019-05-21,-56.2,NA,-77.4,-22.8,-60.1,-54.125,Bosque Farm,34.848851,-106.714722
28,2019,2,20,246,239.5,252,253,244,86,90.6,95.8,96.1,85.4,2019-02-20,160,148.9,156.2,156.9,158.6,156.12,Valle de Oro,34.97895,-106.6801
28,2019,3,21,251,244,256,257.5,248,86,90.6,95.8,96.1,85.4,2019-03-21,165,153.4,160.2,161.4,162.6,160.52,Valle de Oro,34.97895,-106.6801
28,2019,4,18,214,207,220,220,215,13,18.4,8.1,24.2,9.8,2019-04-18,201,188.6,211.9,195.8,205.2,200.5,Valle de Oro,34.97895,-106.6801
28,2019,1,17,238,230.5,243,243.5,236,86,90.6,95.8,96.1,85.4,2019-01-17,152,139.9,147.2,147.4,150.6,147.42,Valle de Oro,34.97895,-106.6801
28,2019,5,22,216,210.5,222.5,223,214,13,18.4,8.1,24.2,9.8,2019-05-22,203,192.1,214.4,198.8,204.2,202.5,Valle de Oro,34.97895,-106.6801
29,2019,2,20,166,136,171,177,168,102,55,53.7,25.8,35.2,2019-02-20,64,81,117.3,151.2,132.8,109.26,Albuquerque Overbank Project,35.04546,-106.6657
29,2019,3,20,139.5,112,147.5,154,148,102,55,53.7,25.8,35.2,2019-03-20,37.5,57,93.8,128.2,112.8,85.86,Albuquerque Overbank Project,35.04546,-106.6657
29,2019,1,18,167,138,171,178,167,102,55,53.7,25.8,35.2,2019-01-18,65,83,117.3,152.2,131.8,109.86,Albuquerque Overbank Project,35.04546,-106.6657
29,2019,4,17,136,105.5,138.5,144,139,86,90.6,95.8,96.1,85.4,2019-04-17,50,14.9,42.7,47.9,53.6,41.82,Albuquerque Overbank Project,35.04546,-106.6657
29,2019,5,20,63.5,34,51.5,59,33.5,86,90.6,95.8,96.1,85.4,2019-05-20,-22.5,-56.6,-44.3,-37.1,-51.9,-42.48,Albuquerque Overbank Project,35.04546,-106.6657
30,2019,2,20,176,332,100,360,175.5,85.3,38,80.6,79,118.5,2019-02-20,90.7,294,19.4,281,57,148.42,State Land Office,34.96785,-106.6856
30,2019,4,15,156.5,316,74,330,143.5,102,55,53.7,25.8,35.2,2019-04-15,54.5,261,20.3,304.2,108.3,149.66,State Land Office,34.96785,-106.6856
30,2019,3,18,161,319,84,342,155,85.3,38,80.6,79,118.5,2019-03-18,75.7,281,3.40000000000001,263,36.5,131.92,State Land Office,34.96785,-106.6856
30,2019,5,22,118.5,273.5,40,300,118,102,55,53.7,25.8,35.2,2019-05-22,16.5,218.5,-13.7,274.2,82.8,115.66,State Land Office,34.96785,-106.6856
30,2019,1,14,167,322,91,352.5,168,85.3,38,80.6,79,118.5,2019-01-14,81.7,284,10.4,273.5,49.5,139.82,State Land Office,34.96785,-106.6856
31,2019,3,20,112,112.5,171.5,127,204.5,59.6,57.3,68.4,63,54.2,2019-03-20,52.4,55.2,103.1,64,150.3,85,San Jose,35.012375,-106.6728
31,2019,4,17,93,92,152,107,185.5,85.3,38,80.6,79,118.5,2019-04-17,7.7,54,71.4,28,67,45.62,San Jose,35.012375,-106.6728
31,2019,2,20,134,133,195,150,228,59.6,57.3,68.4,63,54.2,2019-02-20,74.4,75.7,126.6,87,173.8,107.5,San Jose,35.012375,-106.6728
