Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
2007,10,Diversion,193,241.5,217.25
2007,11,Calabacillas,200.7,235.1,217.89999999999998
2007,12,Minnow,190.4,259.29999999999995,224.85
2007,13,Harrison,212.4,322,280.95
2007,14,Sevilleta,115.8,195.9,162.4
2007,15,Valencia Cleared,137.5,182.6,166.55
2007,16,Valencia Forest,160.5,210.8,185.65
2007,17,Montano,224.4,228.5,226.45
2007,18,Reynolds Cleared,137.4,199.6,168.5
2007,19,Reynolds Forest,132.4,199.6,166
2007,20,Route 66,160.6,229.8,195.2
2007,21,Badger,177.3,260,218.65
2007,22,Bobcat,170.60000000000002,271.7,221.15
2007,23,BioPark,148.2,209.8,179
2008,1,Alameda,146.7,163.9,155.3
2008,2,Rio Grande Nature Center,141.8,167.2,154.5
2008,3,Los Lunas,121,174.5,147.75
2008,4,Belen,127.60000000000001,209.8,194.70000000000002
2008,5,Santa Ana,55.7,89.8,72.75
2008,6,Savannah,104.5,185.8,147.15
2008,7,Lemitar,119.89999999999999,194.7,157.3
2008,8,Hispanic Cultural Center,126,163.7,145.95
2008,9,Ohkay Owingeh,140.1,171.8,155.95000000000002
2008,10,Diversion,140.4,153,153.7
2008,11,Calabacillas,121.9,157.3,142.1
2008,12,Minnow,84.5,150.8,117.65
2008,13,Harrison,165,214,192.5
2008,14,Sevilleta,142.8,192.8,167.8
2008,15,Valencia Cleared,141.4,200.1,170.75
2008,16,Valencia Forest,160.5,204.10000000000002,184.20000000000002
2008,17,Montano,132.7,198,165.35
2008,18,Reynolds Cleared,226.7,292.50000000000006,259.6
2008,19,Reynolds Forest,227.3,19.9,227.85
2008,20,Route 66,106.5,160.3,137.15
2008,21,Badger,97.2,162.5,129.85
2008,22,Bobcat,100.8,170.5,135.65
2008,23,BioPark,122,159.9,145.2
2008,24,Santo Domingo,170.3,143.8,183.45000000000002
2008,25,Crawford,0,0,0
2009,1,Alameda,169.5,203,186.25
2009,2,Rio Grande Nature Center,100,98,115
2009,3,Los Lunas,134.5,206.5,170.5
2009,4,Belen,93,137.7,115.35
2009,5,Santa Ana,89.3,78.4,92.35
2009,6,Savannah,123,201.3,162.15
2009,7,Lemitar,96.8,163,129.9
2009,8,Hispanic Cultural Center,137,234,185.5
2009,9,Ohkay Owingeh,258.1,297.5,277.8
2009,10,Diversion,123.5,185,154.25
2009,11,Calabacillas,114.5,172.6,143.55
2009,12,Minnow,95,180.5,137.75
2009,13,Harrison,85.3,202.29999999999998,182.04999999999998
2009,14,Sevilleta,62.8,149.8,119.8
2009,15,Valencia Cleared,108.7,171.2,139.95000000000002
2009,16,Valencia Forest,116.7,181.3,177
2009,17,Montano,73.1,193,136.3
2009,18,Reynolds Cleared,85.8,150.4,120.10000000000001
2009,19,Reynolds Forest,121.1,171.60000000000002,147
2009,20,Route 66,74,168,131
2009,21,Badger,75.9,146.2,111.05
2009,22,Bobcat,111.3,216.2,163.75
2009,23,BioPark,119.5,187.5,153.5
2009,24,Santo Domingo,141.9,223,182.45
2009,25,Crawford,0,0,0
