"Date ym","Site number","Site name","Latitude","Longitude","Reaches","Month","Year","monthly cottonwood leaf litterfall g m2","monthly willow leaf litterfall g m2","monthly russian olive leaf litterfall g m2","monthly saltcedar leaf litterfall g m2","monthly elm leaf litterfall g m2","monthly seep willow leaf litterfall g m2","monthly new mexico olive leaf litterfall g m2","monthly indigo bush leaf litterfall g m2","monthly total litterfall g m2","monthly woodfall g m2","monthly cottonwood reproductive litterfall g m2","monthly willow reproductive litterfall g m2","monthly russian olive reproductive litterfall g m2","monthly elm reproductive litterfall g m2","monthly saltcedar reproductive litterfall g m2","monthly total reproductive litterfall g m2"
Jan 2000,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",1,2000,17.23,0.48,0.24,0,0,0,0,0,3.19,4.95,.,.,.,.,.,0.01
Jan 2000,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",1,2000,1.69,2.55,1.39,0,0,0,0,0,1.48,2.74,.,.,.,.,.,0.23
Jan 2000,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",1,2000,52.82,0,0,0,0,0,0,0,39.02,234.23,.,.,.,.,.,0.07
Feb 2000,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",2,2000,15.64,0,0.44,0,0,0,0,0,2.51,1.9,.,.,.,.,.,0.06
Feb 2000,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",2,2000,4.16,0,0.31,0.24,0,0,0,0,0.77,0.87,.,.,.,.,.,0.01
Feb 2000,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",2,2000,9.39,0.41,0.16,0,0.08,0,0.01,0,1.5,0.69,.,.,.,.,.,0
Feb 2000,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",2,2000,0.15,0.09,0.46,0,0,0,0,0,0.14,0.32,.,.,.,.,.,0.01
Feb 2000,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",2,2000,14.54,0,0,0,0,0,0,0,1.92,0.23,.,.,.,.,.,0
Mar 2000,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",3,2000,22,0.09,0.09,0,0.24,0,0,0,3.38,3.46,.,.,.,.,.,0.01
Mar 2000,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",3,2000,3.49,0,0.02,0.01,0,0,0,0,1.36,6.55,.,.,.,.,.,0
Mar 2000,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",3,2000,27.69,0.64,0.26,0.01,0.01,0,0.11,0,8.66,36.7,.,.,.,.,.,0
Mar 2000,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",3,2000,0.01,0.1,0.33,0,0,0,0,0,0.34,1.79,.,.,.,.,.,0
Mar 2000,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",3,2000,195.31,0,0.15,0,0,0,0,0,25.53,1.17,.,.,.,.,.,0
Mar 2000,6,"Savannah",35.1428674147,-106.681982289,"Angostura Reach",3,2000,1.92,0,1.33,0.02,0.01,0,0,0,12.01,87.62,.,.,.,.,.,0.02
Apr 2000,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",4,2000,4.93,0,0.01,0,0,0,0,0,1.63,0.87,.,.,.,.,.,0.75
Apr 2000,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",4,2000,1.17,0,0.02,0.01,0,0,0,0,0.4,0.86,.,.,.,.,.,0.11
Apr 2000,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",4,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Apr 2000,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",4,2000,0,0,1.31,0,0,0,0,0,0.21,0.31,.,.,.,.,.,0
Apr 2000,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",4,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Apr 2000,6,"Savannah",35.1428674147,-106.681982289,"Angostura Reach",4,2000,0.3,0.1,0.2,0,0,0,0,0,1.46,7.12,.,.,.,.,.,0.47
May 2000,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",5,2000,11.01,0,0,0,0.01,0,0,0,5.99,8.78,.,.,.,.,.,3.41
May 2000,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",5,2000,4.02,0,0.32,0.01,0,0,0,0,2.41,4.09,.,.,.,.,.,1.05
May 2000,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",5,2000,5.24,0.1,0.09,0,0.02,0,0,0,4.84,3.17,.,.,.,.,.,3.68
May 2000,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",5,2000,0.03,0.02,1.32,0,0,0,0,0,1.27,1.24,.,.,.,.,.,0.89
