Site name,Year,Latitude,Unique species
Los Lunas,2006,34.8123850767529,24
Los Lunas,2007,34.8123850767529,20
Los Lunas,2008,34.8123850767529,20
Los Lunas,2009,34.8123850767529,21
Los Lunas,2010,34.8123850767529,21
Los Lunas,2011,34.8123850767529,22
Los Lunas,2012,34.8123850767529,18
Los Lunas,2013,34.8123850767529,19
Los Lunas,2014,34.8123850767529,19
Los Lunas,2015,34.8123850767529,19
Los Lunas,2016,34.8123850767529,18
Los Lunas,2017,34.8123850767529,18
Los Lunas,2018,34.8123850767529,18
Los Lunas,2019,34.8123850767529,20
Los Lunas,2020,34.8123850767529,23
Los Lunas,2021,34.8123850767529,21
Los Lunas,2022,34.8123850767529,21
Los Lunas,2023,34.8123850767529,18
Mesilla,2016,32.248328,16
Mesilla,2017,32.248328,13
Minnow,2006,35.1972256042,27
Minnow,2007,35.1972256042,20
Minnow,2008,35.1972256042,29
Minnow,2009,35.1972256042,28
Minnow,2010,35.1972256042,27
Minnow,2011,35.1972256042,17
Minnow,2012,35.1972256042,17
Minnow,2013,35.1972256042,30
Minnow,2014,35.1972256042,32
Minnow,2015,35.1972256042,28
Minnow,2016,35.1972256042,29
Minnow,2017,35.1972256042,33
Minnow,2018,35.1972256042,38
Minnow,2019,35.1972256042,38
Minnow,2020,35.1972256042,30
Minnow,2021,35.1972256042,32
Minnow,2022,35.1972256042,34
Minnow,2023,35.1972256042,35
Montano,2004,35.1452628545,34
Montano,2005,35.1452628545,24
Montano,2006,35.1452628545,37
Montano,2007,35.1452628545,31
Montano,2008,35.1452628545,25
Montano,2009,35.1452628545,24
Montano,2010,35.1452628545,24
Montano,2011,35.1452628545,27
Montano,2012,35.1452628545,27
Montano,2013,35.1452628545,21
Montano,2014,35.1452628545,30
Montano,2015,35.1452628545,26
Montano,2016,35.1452628545,30
Montano,2017,35.1452628545,29
Montano,2018,35.1452628545,33
Montano,2019,35.1452628545,36
Montano,2020,35.1452628545,31
Montano,2021,35.1452628545,28
Montano,2022,35.1452628545,39
Ohkay Owingeh,2002,36.0618,58
Ohkay Owingeh,2003,36.0618,46
Ohkay Owingeh,2004,36.0618,42
Ohkay Owingeh,2005,36.0618,48
Ohkay Owingeh,2006,36.0618,49
Ohkay Owingeh,2007,36.0618,51
Ohkay Owingeh,2008,36.0618,53
Ohkay Owingeh,2009,36.0618,48
Ohkay Owingeh,2011,36.0618,51
Ohkay Owingeh,2012,36.0618,48
Ohkay Owingeh,2013,36.0618,44
Ohkay Owingeh,2014,36.0618,45
Ohkay Owingeh,2015,36.0618,43
Reynolds Cleared,2004,34.6567454384498,10
Reynolds Cleared,2005,34.6567454384498,14
Reynolds Cleared,2006,34.6567454384498,14
Reynolds Cleared,2007,34.6567454384498,11
Reynolds Cleared,2008,34.6567454384498,15
Reynolds Cleared,2009,34.6567454384498,18
Reynolds Cleared,2010,34.6567454384498,19
Reynolds Cleared,2011,34.6567454384498,15
Reynolds Cleared,2012,34.6567454384498,16
Reynolds Cleared,2013,34.6567454384498,15
Reynolds Cleared,2014,34.6567454384498,20
Reynolds Cleared,2015,34.6567454384498,24
Reynolds Cleared,2016,34.6567454384498,26
Reynolds Cleared,2017,34.6567454384498,23
Reynolds Cleared,2021,34.6567454384498,26
Reynolds Forest,2004,34.657611462267496,9
Reynolds Forest,2005,34.657611462267496,6
Reynolds Forest,2006,34.657611462267496,9
Reynolds Forest,2007,34.657611462267496,9
Reynolds Forest,2008,34.657611462267496,8
Reynolds Forest,2009,34.657611462267496,6
Reynolds Forest,2011,34.657611462267496,7
Reynolds Forest,2012,34.657611462267496,9
Reynolds Forest,2013,34.657611462267496,11
Reynolds Forest,2014,34.657611462267496,11
Reynolds Forest,2015,34.657611462267496,10
Reynolds Forest,2016,34.657611462267496,12
Reynolds Forest,2017,34.657611462267496,11
Reynolds Forest,2018,34.657611462267496,10
Reynolds Forest,2019,34.657611462267496,12
Reynolds Forest,2020,34.657611462267496,11
Reynolds Forest,2021,34.657611462267496,13
Reynolds Forest,2022,34.657611462267496,14
Reynolds Forest,2023,34.657611462267496,23
Rio Grande Nature Center,2000,35.1267624154,21
Rio Grande Nature Center,2001,35.1267624154,18
Rio Grande Nature Center,2002,35.1267624154,21
Rio Grande Nature Center,2003,35.1267624154,18
Rio Grande Nature Center,2004,35.1267624154,17
Rio Grande Nature Center,2005,35.1267624154,12
Rio Grande Nature Center,2006,35.1267624154,21
Rio Grande Nature Center,2007,35.1267624154,13
Rio Grande Nature Center,2008,35.1267624154,16
Rio Grande Nature Center,2009,35.1267624154,15
Rio Grande Nature Center,2010,35.1267624154,13
Rio Grande Nature Center,2011,35.1267624154,18
Rio Grande Nature Center,2012,35.1267624154,18
Rio Grande Nature Center,2013,35.1267624154,22
Rio Grande Nature Center,2014,35.1267624154,25
Rio Grande Nature Center,2015,35.1267624154,25
Rio Grande Nature Center,2016,35.1267624154,20
Rio Grande Nature Center,2017,35.1267624154,18
Rio Grande Nature Center,2018,35.1267624154,28
Rio Grande Nature Center,2019,35.1267624154,22
Rio Grande Nature Center,2020,35.1267624154,16
Rio Grande Nature Center,2021,35.1267624154,21
Rio Grande Nature Center,2022,35.1267624154,25
Rio Grande Nature Center,2023,35.1267624154,11
River Realignment,2022,33.8227,6
Route 66,2005,35.1006512603,14
Route 66,2006,35.1006512603,21
Route 66,2007,35.1006512603,18
Route 66,2008,35.1006512603,15
Route 66,2009,35.1006512603,19
Route 66,2010,35.1006512603,20
Route 66,2011,35.1006512603,21
Route 66,2012,35.1006512603,18
Route 66,2013,35.1006512603,22
Route 66,2014,35.1006512603,22
Route 66,2015,35.1006512603,22
Route 66,2016,35.1006512603,22
Route 66,2017,35.1006512603,21
Route 66,2018,35.1006512603,26
Route 66,2019,35.1006512603,25
Route 66,2020,35.1006512603,17
Route 66,2021,35.1006512603,15
Route 66,2022,35.1006512603,22
Route 66,2023,35.1006512603,15
San Jose,2016,35.0124335977,21
San Jose,2017,35.0124335977,22
San Jose,2018,35.0124335977,20
San Jose,2019,35.0124335977,23
San Jose,2020,35.0124335977,17
San Jose,2021,35.0124335977,12
San Jose,2022,35.0124335977,26
San Jose,2023,35.0124335977,22
Sandia,2016,35.255,27
Sandia,2017,35.255,16
Sandia,2018,35.255,26
Sandia,2019,35.255,26
Sandia,2020,35.255,17
Sandia,2021,35.255,25
Sandia,2022,35.255,25
Sandia,2023,35.255,18
Santa Ana,2000,35.34284,8
Santa Ana,2001,35.34284,11
Santa Ana,2002,35.34284,11
Santa Ana,2004,35.34284,8
Santa Ana,2005,35.34284,11
Santa Ana,2006,35.34284,11
Santa Ana,2007,35.34284,15
Santa Ana,2008,35.34284,13
Santa Ana,2009,35.34284,9
Santa Ana,2010,35.34284,13
Santa Ana,2011,35.34284,9
Santa Ana,2012,35.34284,8
Santa Ana,2013,35.34284,11
Santa Ana,2014,35.34284,15
Santa Ana,2015,35.34284,13
Santa Ana,2016,35.34284,8
Santa Ana,2017,35.34284,9
Santa Ana,2018,35.34284,14
Santa Ana,2019,35.34284,10
Santa Ana,2020,35.34284,9
