Year,Site number,Site name,Latitude,Longitude,Annual mean depth to groundwater cm,Lag of mean annual depth to groundwater
2008,17,Montano,35.1453,-106.6804,-165.725,-175.6
2008,18,Reynolds Cleared,34.6597,-106.7421,-111.575,-134.025
2008,19,Reynolds Forest,34.6605,-106.743,-105.2,-122.75833333333334
2008,20,Route 66,35.1006,-106.6915,-106.07249999999998,-104.85227272727272
2008,21,Badger,35.1956,-106.6402,-238.925,-255.51875
2008,22,Bobcat,35.1971,-106.6439,-118.625,-127.18125
2008,23,BioPark,35.079,-106.668,-140.64166666666665,-144.33
2008,25,Crawford,34.6384,-106.7428,-132.94,.
2009,1,Alameda,35.1875,-106.6459,-266.33958333333334,-263.0183333333333
2009,2,Rio Grande Nature Center,35.127,-106.6854,-196.67666666666668,-197.82833333333332
2009,3,Los Lunas,34.8124,-106.7145,-128.38333333333333,-122.025
2009,4,Belen,34.6484,-106.7377,-109.27727272727273,-99.77916666666667
2009,6,Savannah,35.1429,-106.682,-110.67875,-109.695
2009,7,Lemitar,34.167,-106.8899,-269.7341666666666,-259.98097222222225
2009,8,Hispanic Cultural Center,35.0688,-106.6581,-127.24833333333333,-123.83166666666666
2009,10,Diversion,35.1908,-106.6429,-225.11333333333334,-220.13833333333332
2009,11,Calabacillas,35.1906,-106.6492,-133.27166666666668,-120.355
2009,12,Minnow,35.1932,-106.6469,-133.32666666666665,-119.62666666666667
2009,13,Harrison,35.0151,-106.6737,-97.105,-86.47166666666666
2009,14,Sevilleta,34.2583,-106.8832,-130.12166666666667,-109.66333333333334
2009,15,Valencia Cleared,34.6486,-106.7392,-91.73333333333333,-80.86458333333333
2009,16,Valencia Forest,34.6472,-106.7385,-147.60166666666666,-136.02736111111116
2009,17,Montano,35.1453,-106.6804,-167,-165.725
2009,18,Reynolds Cleared,34.6597,-106.7421,-121.63333333333333,-111.575
2009,19,Reynolds Forest,34.6605,-106.743,-115.19166666666666,-105.2
2009,20,Route 66,35.1006,-106.6915,-104.9,-106.07249999999998
2009,21,Badger,35.1956,-106.6402,-236.73333333333335,-238.925
2009,22,Bobcat,35.1971,-106.6439,-117.30666666666667,-118.625
2009,23,BioPark,35.079,-106.668,-141.05833333333334,-140.64166666666665
2009,25,Crawford,34.6384,-106.7428,-116.48,-132.94
2010,1,Alameda,35.1875,-106.6459,-272.31458333333336,-266.33958333333334
2010,2,Rio Grande Nature Center,35.127,-106.6854,-191.945,-196.67666666666668
2010,3,Los Lunas,34.8124,-106.7145,-137.39166666666668,-128.38333333333333
2010,4,Belen,34.6484,-106.7377,-120.03,-109.27727272727273
2010,6,Savannah,35.1429,-106.682,-109.995,-110.67875
2010,7,Lemitar,34.167,-106.8899,-274.10541666666666,-269.7341666666666
2010,8,Hispanic Cultural Center,35.0688,-106.6581,-127.38041666666666,-127.24833333333333
2010,10,Diversion,35.1908,-106.6429,-234.51333333333332,-225.11333333333334
2010,11,Calabacillas,35.1906,-106.6492,-148.10500000000002,-133.27166666666668
2010,12,Minnow,35.1932,-106.6469,-146.985,-133.32666666666665
2010,13,Harrison,35.0151,-106.6737,-97.21666666666667,-97.105
2010,14,Sevilleta,34.2583,-106.8832,-143.21333333333334,-130.12166666666667
2010,15,Valencia Cleared,34.6486,-106.7392,-93.225,-91.73333333333333
2010,16,Valencia Forest,34.6472,-106.7385,-151.29500000000002,-147.60166666666666
2010,17,Montano,35.1453,-106.6804,-168.69583333333333,-167
2010,18,Reynolds Cleared,34.6597,-106.7421,-122.825,-121.63333333333333
2010,19,Reynolds Forest,34.6605,-106.743,-117.69444444444441,-115.19166666666666
2010,20,Route 66,35.1006,-106.6915,-103.66944444444444,-104.9
2010,21,Badger,35.1956,-106.6402,-236.93333333333334,-236.73333333333335
2010,22,Bobcat,35.1971,-106.6439,-112.625,-117.30666666666667
2010,23,BioPark,35.079,-106.668,-137.17083333333335,-141.05833333333334
2010,25,Crawford,34.6384,-106.7428,-122.80666666666667,-116.48
2011,1,Alameda,35.1875,-106.6459,-282.6575,-272.31458333333336
2011,2,Rio Grande Nature Center,35.127,-106.6854,-199.20333333333332,-191.945
2011,3,Los Lunas,34.8124,-106.7145,-148.48333333333335,-137.39166666666668
2011,4,Belen,34.6484,-106.7377,-134.43333333333334,-120.03
2011,6,Savannah,35.1429,-106.682,-115.60333333333332,-109.995
2011,7,Lemitar,34.167,-106.8899,-275.78875,-274.10541666666666
2011,8,Hispanic Cultural Center,35.0688,-106.6581,-133.00541666666666,-127.38041666666666
2011,10,Diversion,35.1908,-106.6429,-244.78,-234.51333333333332
2011,11,Calabacillas,35.1906,-106.6492,-168.78541666666666,-148.10500000000002
2011,12,Minnow,35.1932,-106.6469,-162.01333333333335,-146.985
2011,13,Harrison,35.0151,-106.6737,-109.12166666666667,-97.21666666666667
2011,14,Sevilleta,34.2583,-106.8832,-157.94625,-143.21333333333334
2011,15,Valencia Cleared,34.6486,-106.7392,-107.9,-93.225
2011,16,Valencia Forest,34.6472,-106.7385,-167.46545454545455,-151.29500000000002
2011,17,Montano,35.1453,-106.6804,-173.775,-168.69583333333333
2011,18,Reynolds Cleared,34.6597,-106.7421,-143.9,-122.825
2011,19,Reynolds Forest,34.6605,-106.743,-134.03333333333333,-117.69444444444441
2011,20,Route 66,35.1006,-106.6915,-108.66666666666667,-103.66944444444444
2011,21,Badger,35.1956,-106.6402,-238.625,-236.93333333333334
2011,22,Bobcat,35.1971,-106.6439,-111.28333333333333,-112.625
2011,23,BioPark,35.079,-106.668,-145.16666666666666,-137.17083333333335
2011,25,Crawford,34.6384,-106.7428,-143.77954545454546,-122.80666666666667
2011,26,Mesilla,32.2483,-106.821,-119.44285714285714,.
2012,1,Alameda,35.1875,-106.6459,-286.37666666666667,-282.6575
2012,2,Rio Grande Nature Center,35.127,-106.6854,-202.02,-199.20333333333332
2012,3,Los Lunas,34.8124,-106.7145,-164.8173611111111,-148.48333333333335
2012,4,Belen,34.6484,-106.7377,-133.86363636363637,-134.43333333333334
2012,6,Savannah,35.1429,-106.682,-117.23666666666666,-115.60333333333332
2012,7,Lemitar,34.167,-106.8899,-278.4440277777777,-275.78875
2012,8,Hispanic Cultural Center,35.0688,-106.6581,-135.715,-133.00541666666666
2012,10,Diversion,35.1908,-106.6429,-246.79833333333335,-244.78
2012,11,Calabacillas,35.1906,-106.6492,-169.92916666666667,-168.78541666666666
2012,12,Minnow,35.1932,-106.6469,-156.385,-162.01333333333335
2012,13,Harrison,35.0151,-106.6737,-110.78,-109.12166666666667
2012,14,Sevilleta,34.2583,-106.8832,-181.56666666666666,-157.94625
2012,15,Valencia Cleared,34.6486,-106.7392,-108.70208333333333,-107.9
2012,16,Valencia Forest,34.6472,-106.7385,-167.02833333333334,-167.46545454545455
2012,17,Montano,35.1453,-106.6804,-175.30833333333334,-173.775
2012,18,Reynolds Cleared,34.6597,-106.7421,-141.425,-143.9
2012,19,Reynolds Forest,34.6605,-106.743,-132.23958333333334,-134.03333333333333
2012,20,Route 66,35.1006,-106.6915,-110.24166666666667,-108.66666666666667
2012,21,Badger,35.1956,-106.6402,-241.2,-238.625
2012,22,Bobcat,35.1971,-106.6439,-112.35,-111.28333333333333
2012,23,BioPark,35.079,-106.668,-144.98333333333332,-145.16666666666666
2012,25,Crawford,34.6384,-106.7428,-143.33361111111108,-143.77954545454546
2012,26,Mesilla,32.2483,-106.821,-137.64545454545456,-119.44285714285714
2012,27,Bosque Farm,34.8489,-106.7147,-130.78227272727273,.
2013,1,Alameda,35.1875,-106.6459,-290.10041666666666,-286.37666666666667
2013,2,Rio Grande Nature Center,35.127,-106.6854,-201.80333333333334,-202.02
2013,3,Los Lunas,34.8124,-106.7145,-153.03541666666666,-164.8173611111111
2013,4,Belen,34.6484,-106.7377,-133.575,-133.86363636363637
2013,6,Savannah,35.1429,-106.682,-118.23,-117.23666666666666
2013,7,Lemitar,34.167,-106.8899,-279.1106944444444,-278.4440277777777
2013,8,Hispanic Cultural Center,35.0688,-106.6581,-133.3309090909091,-135.715
2013,10,Diversion,35.1908,-106.6429,-248.66333333333333,-246.79833333333335
2013,11,Calabacillas,35.1906,-106.6492,-176.72916666666666,-169.92916666666667
2013,12,Minnow,35.1932,-106.6469,-164.22666666666666,-156.385
2013,13,Harrison,35.0151,-106.6737,-114.96833333333333,-110.78
2013,14,Sevilleta,34.2583,-106.8832,-170.51666666666668,-181.56666666666666
2013,15,Valencia Cleared,34.6486,-106.7392,-110.66666666666667,-108.70208333333333
2013,16,Valencia Forest,34.6472,-106.7385,-168.17454545454547,-167.02833333333334
2013,17,Montano,35.1453,-106.6804,-175.39166666666665,-175.30833333333334
2013,18,Reynolds Cleared,34.6597,-106.7421,-140.55833333333334,-141.425
2013,19,Reynolds Forest,34.6605,-106.743,-133.025,-132.23958333333334
2013,20,Route 66,35.1006,-106.6915,-112.89666666666666,-110.24166666666667
2013,21,Badger,35.1956,-106.6402,-244.35833333333332,-241.2
2013,22,Bobcat,35.1971,-106.6439,-115.24166666666666,-112.35
2013,23,BioPark,35.079,-106.668,-148.83333333333334,-144.98333333333332
2013,25,Crawford,34.6384,-106.7428,-142.97727272727272,-143.33361111111108
2013,26,Mesilla,32.2483,-106.821,.,-137.64545454545456
2013,27,Bosque Farm,34.8489,-106.7147,-117.98722222222221,-130.78227272727273
2014,1,Alameda,35.1875,-106.6459,-279.68333333333334,-290.10041666666666
2014,2,Rio Grande Nature Center,35.127,-106.6854,-195.73666666666668,-201.80333333333334
2014,3,Los Lunas,34.8124,-106.7145,-152.51833333333332,-153.03541666666666
2014,4,Belen,34.6484,-106.7377,-131.07333333333332,-133.575
2014,6,Savannah,35.1429,-106.682,-108.71833333333333,-118.23
2014,7,Lemitar,34.167,-106.8899,-271.9266666666667,-279.1106944444444
2014,8,Hispanic Cultural Center,35.0688,-106.6581,-131.77,-133.3309090909091
2014,10,Diversion,35.1908,-106.6429,-242.11333333333334,-248.66333333333333
2014,11,Calabacillas,35.1906,-106.6492,-168.28,-176.72916666666666
2014,12,Minnow,35.1932,-106.6469,-158.94333333333333,-164.22666666666666
2014,13,Harrison,35.0151,-106.6737,-110.11333333333333,-114.96833333333333
2014,14,Sevilleta,34.2583,-106.8832,-182.57333333333332,-170.51666666666668
2014,15,Valencia Cleared,34.6486,-106.7392,-104.28708333333333,-110.66666666666667
2014,16,Valencia Forest,34.6472,-106.7385,-163.18666666666667,-168.17454545454547
2014,17,Montano,35.1453,-106.6804,-165.61818181818182,-175.39166666666665
2014,18,Reynolds Cleared,34.6597,-106.7421,-135.05416666666667,-140.55833333333334
2014,19,Reynolds Forest,34.6605,-106.743,-128.05833333333334,-133.025
2014,20,Route 66,35.1006,-106.6915,-110.2,-112.89666666666666
2014,21,Badger,35.1956,-106.6402,-237.24666666666667,-244.35833333333332
2014,22,Bobcat,35.1971,-106.6439,-108.505,-115.24166666666666
2014,23,BioPark,35.079,-106.668,-151.70833333333334,-148.83333333333334
2014,25,Crawford,34.6384,-106.7428,-141.77208333333334,-142.97727272727272
2014,26,Mesilla,32.2483,-106.821,-162.0375,.
2014,27,Bosque Farm,34.8489,-106.7147,-120.740625,-117.98722222222221
2014,28,Valle de Oro,34.979,-106.6801,-127.65833333333333,.
2014,29,Albuquerque Overbank Project,35.0455,-106.6657,-108.67703703703708,.
2014,30,State Land Office,34.9679,-106.6856,-122.89142857142858,.
2015,1,Alameda,35.1875,-106.6459,-262.5833333333333,-279.68333333333334
2015,2,Rio Grande Nature Center,35.127,-106.6854,-184.48666666666668,-195.73666666666668
2015,3,Los Lunas,34.8124,-106.7145,-129.97333333333333,-152.51833333333332
2015,4,Belen,34.6484,-106.7377,-113.00166666666667,-131.07333333333332
2015,6,Savannah,35.1429,-106.682,-97.32666666666667,-108.71833333333333
2015,7,Lemitar,34.167,-106.8899,-267.51166666666666,-271.9266666666667
2015,8,Hispanic Cultural Center,35.0688,-106.6581,-117.93166666666667,-131.77
2015,10,Diversion,35.1908,-106.6429,-223.26333333333332,-242.11333333333334
2015,11,Calabacillas,35.1906,-106.6492,-139.61708333333334,-168.28
2015,12,Minnow,35.1932,-106.6469,-139.70291666666665,-158.94333333333333
2015,13,Harrison,35.0151,-106.6737,-95.7875,-110.11333333333333
2015,14,Sevilleta,34.2583,-106.8832,-165.73833333333334,-182.57333333333332
2015,15,Valencia Cleared,34.6486,-106.7392,-90.08,-104.28708333333333
2015,16,Valencia Forest,34.6472,-106.7385,-150.46166666666667,-163.18666666666667
2015,17,Montano,35.1453,-106.6804,-155.625,-165.61818181818182
2015,18,Reynolds Cleared,34.6597,-106.7421,-114.92,-135.05416666666667
2015,19,Reynolds Forest,34.6605,-106.743,-111.99166666666667,-128.05833333333334
2015,20,Route 66,35.1006,-106.6915,-100.34833333333333,-110.2
2015,21,Badger,35.1956,-106.6402,-229.75208333333333,-237.24666666666667
2015,22,Bobcat,35.1971,-106.6439,-98.37833333333333,-108.505
2015,23,BioPark,35.079,-106.668,-134.21,-151.70833333333334
2015,25,Crawford,34.6384,-106.7428,-120.7375,-141.77208333333334
2015,26,Mesilla,32.2483,-106.821,-175.315,-162.0375
2015,27,Bosque Farm,34.8489,-106.7147,.,-120.740625
2015,28,Valle de Oro,34.979,-106.6801,-130.28958333333333,-127.65833333333333
2015,29,Albuquerque Overbank Project,35.0455,-106.6657,-101.54,-108.67703703703708
2015,30,State Land Office,34.9679,-106.6856,-126.23166666666667,-122.89142857142858
2015,31,San Jose,35.0124,-106.6728,-55.1,.
2016,1,Alameda,35.1875,-106.6459,-268.465,-262.5833333333333
2016,2,Rio Grande Nature Center,35.127,-106.6854,-183.38666666666666,-184.48666666666668
2016,3,Los Lunas,34.8124,-106.7145,-149.525,-129.97333333333333
2016,4,Belen,34.6484,-106.7377,-123.37333333333333,-113.00166666666667
2016,6,Savannah,35.1429,-106.682,-101.27272727272727,-97.32666666666667
2016,7,Lemitar,34.167,-106.8899,-274.04833333333335,-267.51166666666666
2016,8,Hispanic Cultural Center,35.0688,-106.6581,-122.77333333333334,-117.93166666666667
2016,10,Diversion,35.1908,-106.6429,-230.3975,-223.26333333333332
2016,11,Calabacillas,35.1906,-106.6492,-154.02958333333333,-139.61708333333334
2016,12,Minnow,35.1932,-106.6469,-151.32666666666668,-139.70291666666665
2016,13,Harrison,35.0151,-106.6737,-109.205,-95.7875
2016,14,Sevilleta,34.2583,-106.8832,-190.93,-165.73833333333334
2016,15,Valencia Cleared,34.6486,-106.7392,-100.17999999999999,-90.08
2016,16,Valencia Forest,34.6472,-106.7385,-156.25333333333333,-150.46166666666667
2016,17,Montano,35.1453,-106.6804,-156.76833333333335,-155.625
2016,18,Reynolds Cleared,34.6597,-106.7421,-123.99666666666667,-114.92
2016,19,Reynolds Forest,34.6605,-106.743,-119.59166666666667,-111.99166666666667
2016,20,Route 66,35.1006,-106.6915,-106.98666666666666,-100.34833333333333
2016,21,Badger,35.1956,-106.6402,-232.8,-229.75208333333333
2016,22,Bobcat,35.1971,-106.6439,-101.22,-98.37833333333333
2016,23,BioPark,35.079,-106.668,-138.15833333333333,-134.21
2016,25,Crawford,34.6384,-106.7428,-138.65166666666667,-120.7375
2016,26,Mesilla,32.2483,-106.821,-159.4725,-175.315
2016,27,Bosque Farm,34.8489,-106.7147,-116.58263888888884,.
